名称,分类
射干,草部
乌扇,草部
乌,草部
乌吹,草部
乌蒲,草部
凤,草部
鬼扇,草部
扁竹,草部
仙人掌,草部
紫金牛,草部
野萱花,草部
草姜,草部
黄远,草部
玉簪,草部
白仙,草部
凤仙,草部
急性子,草部
早珍珠,草部
金凤花,草部
小桃红,草部
夹竹桃,草部
海,草部
染指甲草,草部
菊婢,草部
坐拿草,草部
曼陀罗花,草部
风匣儿,草部
山茄子,草部
羊踯躅,草部
黄踯躅,草部
黄杜鹃,草部
羊不食草,草部
闹羊花,草部
惊羊花,草部
老虎花,草部
玉枝,草部
芫花,草部
杜芫,草部
赤芫,草部
去水,草部
毒鱼,草部
头痛花,草部
儿草,草部
败华,草部
根名黄大戟、蜀桑,草部
莽草,草部
芒草,草部
鼠莽,草部
茵芋,草部
芫草,草部
卑共,草部
石龙芮,草部
地椹,草部
天豆,草部
石能,草部
鲁果能,草部
水堇,草部
苦堇,草部
堇葵,草部
胡椒菜彭根,草部
钩吻,草部
野葛,草部
毒根,草部
胡蔓草,草部
断肠草,草部
黄藤,草部
火把花,草部
菟丝子,草部
菟缕,草部
菟,草部
菟芦丘,草部
赤纲,草部
玉女唐蒙,草部
火焰草,草部
野狐丝,草部
金线草,草部
覆盆子,草部
奎,草部
西国草,草部
毕楞伽,草部
大麦莓,草部
插田包,草部
乌包子,草部
使君子,草部
留求子,草部
木鳖子,草部
木蟹,草部
番木鳖,草部
马钱子,草部
苦实把豆,草部
火失刻把都,草部
马兜铃,草部
都淋藤,草部
独行根,草部
土青木香,草部
去南根,草部
三百两银药,草部
盍藤子,草部
象豆,草部
盍子,草部
合子,草部
预知子,草部
圣知子,草部
圣先子,草部
盍合子,草部
仙沼子,草部
牵牛子,草部
黑丑,草部
草金铃,草部
盆甑草,草部
狗耳草,草部
旋花,草部
旋,草部
盘根,草部
续筋根,草部
鼓子花,草部
肠草,草部
美草,草部
天剑草,草部
缠枝牡丹,草部
紫葳,草部
凌霄,草部
陵苕,草部
陵时,草部
女葳,草部
茇华,草部
武威,草部
瞿陵,草部
鬼目,草部
营实墙蘼,草部
蔷薇,草部
山棘,草部
牛棘,草部
牛勒,草部
刺花,草部
月季花,草部
月月红,草部
胜春,草部
瘦客,草部
斗雪红,草部
栝楼,草部
果裸,草部
瓜蒌,草部
天瓜,草部
黄瓜,草部
地楼,草部
泽姑,草部
根名白药、天花粉、瑞雪,草部
王瓜,草部
土瓜,草部
钩,草部
老鸦瓜,草部
马瓞瓜,草部
赤雹子,草部
野甜瓜,草部
师姑草,草部
公公须,草部
葛,草部
鸡齐,草部
鹿藿,草部
黄斤,草部
天门冬,草部
门冬,草部
颠勒,草部
颠棘,草部
天棘,草部
万岁藤,草部
百部,草部
婆妇草,草部
野天门冬,草部
何首乌,草部
交藤,草部
夜合,草部
地精,草部
陈知白,草部
马肝厂,草部
桃柳藤,草部
九真藤,草部
赤葛,草部
疮帚,草部
红内消,草部
萆解,草部
赤节,草部
百枝,草部
竹木,草部
白菝葜,草部
菝葜,草部
菝,草部
金刚根,草部
铁菱角,草部
王瓜草,草部
土茯苓,草部
土萆解,草部
刺猪苓,草部
山猪粪,草部
草禹余粮,草部
仙遗粮,草部
冷饭团,草部
硬饭,草部
山地栗,草部
白蔹,草部
白草,草部
白根,草部
兔核,草部
猫儿卵,草部
昆仑,草部
山豆根,草部
解毒,草部
黄结,草部
中药,草部
黄药子,草部
木药子,草部
大苦,草部
赤药,草部
红药子,草部
白药子,草部
白药,草部
威灵仙,草部
茜草,草部
茅搜,草部
茹芦,草部
地血,草部
染绯草,草部
血见悉,草部
风车草,草部
过山龙,草部
牛蔓,草部
防己,草部
解离,草部
石解,草部
通草,草部
木通,草部
附支,草部
丁翁,草部
万年藤,草部
子名燕覆,草部
通脱木,草部
通草,草部
活夺,草部
离南,草部
钩藤,草部
白英,草部
谷菜,草部
白草,草部
白幕,草部
排风,草部
子名鬼目,草部
乌蔹莓,草部
五叶莓,草部
茏草,草部
拔,草部
茏葛,草部
五爪龙,草部
赤泼藤,草部
律草,草部
勒草,草部
葛勒蔓,草部
来莓草,草部
络石,草部
石鲮,草部
石龙藤,草部
悬石,草部
耐冬,草部
云花,草部
云丹云英,草部
石血,草部
云珠,草部
木莲,草部
薜荔,草部
木馒头,草部
鬼馒头,草部
忍冬,草部
金银藤,草部
鸳鸯藤,草部
鹭鸶藤,草部
老翁须,草部
左缠藤,草部
金钗股,草部
通灵草,草部
蜜桶藤,草部
金银花,草部
甜藤,草部
藤类,草部
汁名“藤黄,草部
含水藤,草部
天仙藤,草部
南藤,草部
清风藤,草部
百灵藤,草部
紫藤,草部
落雁木,草部
海藤,草部
鸡血藤,草部
甘藤,草部
紫金藤,草部
千里及,草部
泽泻,草部
水泻,草部
鹄泻,草部
及泻,草部
渝,草部
芒芋,草部
禹孙,草部
羊蹄,草部
蓄,草部
秃菜,草部
败毒菜,草部
牛舌菜,草部
羊蹄大黄,草部
鬼目,草部
东方宿,草部
连虫陆,草部
水黄芹,草部
子名金荞麦,草部
酸模,草部
山羊蹄,草部
山大黄,草部
餮芜,草部
酸母,草部
修,草部
当药,草部
菖蒲,草部
昌陽,草部
尧韭,草部
水剑草,草部
菰,草部
茭草,草部
蒋草,草部
菰笋,草部
茭笋,草部
茭白,草部
菰菜,草部
菰根,草部
水萍,草部
苹,草部
苤菜,草部
四叶菜,草部
田字草,草部
萍蓬草,草部
水粟,草部
水栗子。,草部
水藻,草部
海藻,草部
单,草部
落首,草部
海萝,草部
昆布,草部
纶布,草部
石斛,草部
石,草部
金钗,草部
禁生,草部
林兰,草部
杜兰,草部
骨碎补,草部
猴姜,草部
猢狲姜,草部
石毛姜,草部
石奄间,草部
石韦,草部
石革,草部
石皮,草部
石兰,草部
金星草,草部
金钏草,草部
凤尾草,草部
七星草,草部
景天,草部
慎火,草部
戒火,草部
据火,草部
护火,草部
辟火,草部
火母,草部
虎耳草,草部
石荷叶,草部
石胡荽,草部
天胡荽,草部
野园荽,草部
鹅不食草,草部
鸡肠草,草部
螺旋草,草部
镜面草,草部
酢浆草,草部
酸浆,草部
三叶酸,草部
三角酸,草部
酸母,草部
醋母,草部
酸箕,草部
鸠酸,草部
雀林草,草部
小酸茅,草部
赤孙施,草部
地锦,草部
地朕,草部
地噤,草部
夜光,草部
承夜,草部
草血竭,草部
血见愁,草部
血风草,草部
马蚁草,草部
雀儿卧单,草部
酱瓣草,草部
猢孙头草,草部
陟厘,草部
侧梨,草部
水苔,草部
石发,草部
石衣,草部
水衣,草部
水棉,草部
潭,草部
昨叶何草,草部
土马,草部
卷柏,草部
万岁,草部
长生不死草,草部
豹足,草部
求股,草部
交时,草部
石松,草部
马勃,草部
马批,草部
马譬,草部
灰菰,草部
牛屎菰,草部
柏,木部
侧柏,木部
柏实,木部
柏叶,木部
丁香,木部
丁子香,木部
鸡舌香,木部
松,木部
松膏,木部
松肪,木部
松胶,木部
松香,木部
沥青,木部
松节,木部
松叶,木部
杉,木部
杉,木部
沙木,木部
桂,木部
筒桂,木部
小筐,木部
木兰,木部
杜兰,木部
林兰,木部
木莲,木部
黄心,木部
辛夷,木部
辛,木部
侯桃,木部
房木,木部
木笔,木部
